"OA","Age_0_17","Age_18_29","Age_30_44","Age_45_64","Age_65_up","united_kingdom","ireland","other_eu","other_countries","no_cars","one_car","two_cars","three_and_more_cars","employed","unemployed","retired","white","asian","black_african","other_arab","all_english","notall_english","kids_english","no_english","single","married","divorced","lowest_quali","highest_quali","christian","jewish","muslim","no_religion","owned","shared","social_rent","private_rent","rent_free","males","females"
"E00014654",5.9,11.5,26.2,27.9,28.4,57.9,2.2,16.9,23,58.6,36.7,3.1,1.6,61.8,3.3,17.8,85.2,4.9,5.5,1.1,79.7,6.2,0.8,13.3,52.3,26.4,12.1,9.8,52.9,58.5,0,4.4,21.3,49.2,0.8,25,25,0,46.4,53.6
"E00014655",13.1,12.2,35.7,18.1,20.9,50.2,1.8,19,29,49.2,47,3.8,0,70.9,4.1,10.5,85.5,6.8,1.4,0.9,67.4,9.1,0.8,22.7,49,32.3,9.4,5.2,51,57,2.7,6.8,19,47.7,0,15.9,32.6,3.8,38,62
"E00014656",14.1,10.5,28.9,26.2,20.2,52.8,2.8,15.1,29.4,57.7,40,2.3,0,68.6,2.4,11.8,72.5,6.4,2.3,11,65.4,10,0.8,23.8,38.1,35.4,11.6,4.2,47.6,56.4,2.8,13.8,14.2,34.6,0.8,29.2,31.5,3.8,48.6,51.4
"E00014657",15.1,19.3,39.9,18.3,7.2,44.8,2.7,24.2,28.3,41,50,7.4,1.6,71.6,3.7,5.8,83.4,4.5,1.3,0,63.9,9.8,0.8,25.4,54.1,32,7.2,2.6,62.4,70.9,0.9,1.8,17,50.8,0.8,0.8,44.3,3.3,48,52
"E00014658",19,10.3,24.1,28.5,18,45.6,1,15.3,38.1,31.7,40.3,19.4,8.6,65.1,2.8,9.2,85.4,7.8,0.3,1.7,67.6,12.2,0,20.1,29.3,51,13,6.7,50.2,62.2,2,3.4,16,56.1,0,0.7,38.8,4.3,45.9,54.1
"E00014659",10.1,25.3,36.8,21.3,6.6,45,1.6,19,34.5,49.7,41.5,8.2,0.7,75.9,2.2,6.6,77.9,5.4,3.9,5.4,72.1,8.2,0.7,19,61.2,25.4,8.6,2.2,65.5,52.7,1.9,5,27.9,29.9,0,11.6,54.4,4.1,42.6,57.4
"E00014660",21.8,18.4,23.9,30.1,5.6,43.5,2.8,18.8,34.9,35.3,39.7,19.2,5.8,71.3,1.1,4.8,86.4,5.1,1.1,2.6,59,19.9,0,21.2,39.5,45.9,7.5,3.6,58.7,69.9,4.5,4.5,10.8,50,0.6,3.8,40.4,5.1,48.6,51.4
"E00014661",11.4,22.2,35.8,17.2,13.6,42.8,1.6,27.6,28,45.9,44.6,8.1,1.4,75.7,4.8,5.2,77,8.9,3.5,2.7,60.1,10.1,2,27.7,53.5,27.2,12.7,3.5,57.9,57.6,1.6,5.8,23,39.2,0,11.5,49.3,0,55.6,44.4
"E00014662",19.2,15.9,26.1,25.4,13.4,50.5,0.7,21.5,27.4,26.8,44.9,24.4,4,63.3,2.1,8.4,90.6,2.6,1,1,62.2,19.7,1.6,16.5,36.5,51.2,5.6,2.8,56.7,69.1,2.9,2.3,16.9,67.7,0.8,0,29.1,2.4,44.3,55.7
"E00014663",10.1,21.9,34.2,19.8,13.9,49.2,1.1,15.5,34.2,49.6,44.2,3.5,2.7,73.5,3.7,6.8,86.1,5.9,1.1,0.5,75.2,7.1,0.9,16.8,54.8,31,5.4,3,64.9,59.9,2.1,1.6,23.5,46.9,0,0.9,50.4,1.8,45.5,54.5
