"OA","Age_0_17","Age_18_29","Age_30_44","Age_45_64","Age_65_up","united_kingdom","ireland","other_eu","other_countries","no_cars","one_car","two_cars","three_and_more_cars","employed","unemployed","retired","white","asian","black_african","other_arab","all_english","notall_english","kids_english","no_english","single","married","divorced","lowest_quali","highest_quali","christian","jewish","muslim","no_religion","owned","shared","social_rent","private_rent","rent_free","males","females"
"E00014067",26,12.7,32.8,22.2,6.3,48.5,0.9,16.3,34.3,49.3,35,11.4,4.3,73.3,3.3,2.5,72.5,9.8,1.5,6.2,60.7,8.6,1.4,29.3,30.2,58.7,5.6,2,66.3,60.4,3,8.9,18,49.3,0.7,1.4,46.4,2.1,48.2,51.8
"E00014068",19.9,16,21,25.6,17.5,48.6,2.3,13.6,35.4,39.4,42.2,12.8,5.5,61.6,2,10.1,74.7,8.9,0.4,8.9,63.3,13.8,2.8,20.2,39.6,45.3,6.1,5.2,64.2,56,0,8.2,21,60.6,0.9,0,33.9,4.6,49,51
"E00014069",23.4,12.6,37.2,19.6,7.3,31.8,0.4,18,49.8,37,51.3,8.4,3.4,63.8,1,7.7,66.7,18,0.4,4.2,49.6,18.5,0,31.9,35.6,54.5,3,2,73.3,48.7,2.3,3.1,23.4,34.5,0,0.8,59.7,5,51.7,48.3
"E00014070",18.7,18.4,26.9,24,12.1,41.7,0,22.6,35.7,49.6,28.8,18.4,3.2,69.1,3.2,8.8,81.3,7.4,3.5,1.8,59.2,13.6,2.4,24.8,37.1,50.4,8.6,1.7,62.9,60.4,2.5,3.5,15.9,57.6,0,0,37.6,4.8,53.4,46.6
"E00014071",19.6,12.9,31.4,18.2,17.9,29.6,1.4,20,48.9,36.5,43.5,18.3,1.8,54.1,3.4,11.7,61.1,24.6,1.4,4.3,53,10.4,1.7,34.8,33.6,51.5,6.1,3.1,62.9,48.2,2.5,10.4,13.6,36.5,0,0.9,55.7,7,47.9,52.1
"E00014072",20.7,7.9,17.7,36.6,17,56.2,1.6,20.2,22.1,30.5,43.5,19.1,6.8,67.6,1.3,9.8,85.2,5,2.5,1.3,74,12.2,2.3,11.5,24.3,63.7,4.6,3.9,65.3,59,1.9,2.2,18.9,70.2,0.8,0,24.4,4.6,46.4,53.6
"E00014073",14.9,27.3,27.7,17.2,12.8,36.5,2.4,23.6,37.5,52.6,41.6,4.5,1.2,61.5,2.5,9.8,68.6,16.6,0.3,4.4,61,7.8,1.3,29.9,49.4,39.2,2.4,0.8,55.7,51.7,1.7,6.8,20.3,45.5,0.6,1.9,48.7,3.2,53.4,46.6
"E00014074",8.1,44.8,28.6,13.6,4.9,26.3,1.4,24.9,47.4,68.5,22.8,7.9,0.8,50.3,2.6,5.1,65.9,22,2.9,2.6,52.8,12.6,0,34.6,63.9,28.8,3.1,3.8,47.3,54.3,1.7,4.3,27.5,26.8,2.4,1.6,68.5,0.8,49.1,50.9
"E00014075",18.1,18.9,30.6,20.8,11.8,37,0.4,20.8,41.9,64,31.2,4.8,0,66.8,2.9,5.9,71.3,14.7,3.4,3.4,57.6,17.6,4,20.8,42.5,42,7.3,4.1,56.2,47.9,3.4,12.8,18.5,44,0,0,52.8,3.2,53.6,46.4
"E00014076",24.8,8.8,15.5,31.1,19.9,55.1,1.4,13.8,29.7,19.3,50.5,22,8.2,58.5,1.1,9,82.3,10.2,1.4,2.1,70.6,18.3,1.8,9.2,26.6,60.6,6.9,1.8,63.3,70.3,1.1,2.8,14.1,78.9,0,0,16.5,4.6,50.2,49.8
"E00014077",16.3,20,34.7,17.8,11.4,40.8,0.4,13.2,45.7,67.8,25.7,4.6,2,61.9,6.9,3.5,57.7,15.1,0.8,14,58.6,5.9,3.3,32.2,42.3,39.6,10.8,3.2,59.5,44.9,0.8,26,16.2,42.1,0,2,53.3,2.6,44.5,55.5
"E00014078",10.3,13.6,26.6,26.6,22.6,40.3,1.9,27.3,30.5,42.9,47.6,8.3,1.2,60.2,0.8,12.5,83.1,9.1,0.6,3.2,63.1,14.3,1.2,21.4,34.1,48.6,8.7,6.5,60.1,68.2,0.6,4.5,15.6,51.2,0,2.4,42.9,3.6,42.2,57.8
"E00014079",16.3,20.4,29.8,17.1,16.2,33.9,0.8,36.3,29,55.7,33.6,9.8,0.8,63.7,1.6,8.2,76.3,9,1.6,5.3,55.7,9,1.6,33.6,37.6,46.3,5.4,3.4,61.5,55.1,2,10.2,22,42.6,0.8,9.8,39.3,7.4,49.4,50.6
"E00014080",9.6,20.1,31.3,20.9,17.9,44.8,0,25.4,29.9,42,44.3,10.2,3.4,74.1,3.6,8,85.1,6.7,0,3,63.6,6.8,0,29.5,49.6,40.5,6.6,6.6,69.4,64.9,2.2,2.2,16.4,43.2,1.1,6.8,39.8,9.1,43.3,56.7
"E00014081",27.8,7.9,35.9,25.8,2.6,44.2,0.4,23.2,32.2,46.3,34.1,15.4,4.1,73.4,2.5,3.4,79.7,10.9,0.4,1.1,60.2,7.3,1.6,30.9,38.2,54.4,5.4,4.4,70.1,63.8,4.7,2.9,11.6,36.6,0,5.7,53.7,4.1,46.7,53.3
"E00014082",13.6,5.7,22.6,36.8,21.5,48,1.1,23.7,27.1,25.5,50,17,7.5,66.7,0.7,12.3,86.4,9.6,0,0,73.4,11.7,1.1,13.8,27.9,59.1,6.5,5.2,59.1,65,2.8,2.8,16.9,63.8,0,4.3,25.5,6.4,52.5,47.5
"E00014083",11,20,24.7,28.5,15.5,32.5,0.6,21.4,45.5,60.2,32.3,6.5,1.1,62.7,2.4,7.9,72.7,6.5,3.2,6.5,61.3,10.8,1.1,26.9,43.1,40.9,9.5,7.3,51.8,68.2,0,4.5,17.5,34.4,0,1.1,54.8,9.7,55.2,44.8
"E00014084",11.6,33.5,27.2,15.3,12.3,33.9,1.7,16.3,48.2,65.3,27.2,5.2,2.3,57.5,2,7.5,61.5,15,3.3,11.3,56.1,7.5,0.6,35.8,61.4,25.1,4.5,10.9,56.9,47.5,4.3,12,22.3,19.1,0.6,5.2,66.5,8.7,58.8,41.2
"E00014085",10.5,16.7,44,20.4,8.4,35.6,0,26.2,38.2,62.9,31,3.4,2.6,74.3,1.8,4.2,77.5,7.3,2.1,7.9,62.9,10.3,1.7,25,47.1,41.3,4.7,5.2,55.8,58.6,2.1,8.9,17.8,31.9,0,6,50.9,11.2,52.4,47.6
"E00014086",15.7,14.4,37.2,19.1,13.7,36.9,0.8,14.5,47.8,58.9,30,8.9,2.1,70.2,3.5,5.5,64.2,13.4,4.9,9.8,62.6,6.8,0.5,30,41.3,41.3,10.3,4.2,55.8,47.3,2.5,20.8,11.5,28.4,0,7.9,53.7,10,53.3,46.7
"E00014087",11.5,28.6,27.1,21.8,11.1,43.2,1.1,18.9,36.8,58.7,26.9,10.8,3.6,61.3,3.8,6.4,80.4,7.5,1.4,2.5,62.9,6,0.6,30.5,53.2,35.1,6.5,7.3,56,53.9,4.3,6.1,19.6,22.8,0.6,11.4,59.3,6,56.1,43.9
"E00014088",12.7,27.4,28.4,16.9,14.7,43.7,1.1,25.8,29.5,58.9,26.2,13.1,1.9,64.6,0,7.6,80.5,4.7,2.1,4.7,57.9,9.3,1.9,30.8,50.3,36.1,8.3,3,69.2,53.7,2.6,10.5,15.8,43.9,0,0.9,51.4,3.7,53.7,46.3
"E00014089",4.7,38,32.9,19,5.5,28.7,0.8,26.7,43.8,69.9,26.5,3.6,0,62.9,3.8,3.8,70.9,10.5,1.9,3.9,47.6,15.1,0,37.3,59.8,24.4,8.1,4.1,52.4,45.7,6.2,8.5,20.5,28.9,1.2,0,65.1,4.8,54.7,45.3
"E00014090",12.3,20.1,38.8,16.9,11.9,29.7,1.8,26.9,41.6,64.7,27.8,3.8,3.8,68.3,1.1,9.1,76.3,11,2.7,2.3,66.2,9,0.8,24.1,46.4,38.1,9.3,3.1,63.9,56.6,3.7,5.5,22.8,20.3,0,3.8,69.2,6.8,49.3,50.7
"E00014091",18.4,17.2,26.3,20.4,17.7,31.4,2,20.8,45.9,44.7,39.5,11.4,4.4,61.4,2.1,7.4,78.4,11,1.2,3.1,71.1,13.2,0.9,14.9,38.8,48.8,6.2,3.8,61.2,60,3.5,5.9,19.6,39.5,0,0.9,48.2,11.4,50.2,49.8
"E00014092",8.4,20.4,38.4,21.6,11.2,34.4,0.8,23.6,41.2,58.3,35.8,4,2,70.3,1.8,7.8,77.6,11.6,0.4,4,61.6,7.9,2,28.5,49.8,32,8.7,3.9,62.3,46.8,5.2,6,24,37.1,0,0.7,55,7.3,53.2,46.8
"E00014093",19,24,24.1,23.3,9.5,43.6,1.7,21.6,33.2,36.7,50,12.2,1,54.7,5.2,7.3,74.7,14.5,0.4,1.7,60.2,15.3,2,22.4,47,46.5,3.5,2,57,56.8,2.9,10.4,17,54.1,0,0,32.7,13.3,57.7,42.3
"E00014094",17.4,24.8,24.5,26.2,7,38.2,1.2,23.2,37.3,47.6,27.6,18.1,6.7,67.2,0.5,3,76.3,13.3,2.5,0.8,55.2,19,1,24.8,43.4,41,7.8,2.9,63.9,49.8,3.7,7.9,24.5,48.6,0,4.8,40,6.7,53.5,46.5
"E00014095",8.3,32.2,30.3,15.6,13.8,34.9,0.5,21.1,43.6,74.3,22.9,2.8,0,69.1,2.1,6.8,69.3,20.2,0.5,2.3,61.8,6.9,1.4,29.9,57.2,27.4,10,8,55.2,51.4,6.4,8.7,14.2,30.6,0,0.7,61.1,7.6,42.2,57.8
"E00014096",10.3,22.3,25.2,28.9,13.2,29.3,1.2,19,50.4,61,27.9,6.6,4.4,62.7,0,8.8,72.3,9.1,2.5,7.9,53.7,15.4,2.2,28.7,45.9,36.7,10.6,4.1,56,56.6,2.5,12.8,14.9,33.1,0.7,0.7,55.9,9.6,54.5,45.5
"E00014097",12.7,18.6,35.7,20.4,12.7,29.9,0.9,32.6,36.7,55,38.2,5.3,1.5,72,2.7,6.5,85.1,8.1,0.5,0,58.8,6.1,0,35.1,47.2,35.8,11.4,3.6,58.5,64.7,1.8,3.2,17.6,22.9,0.8,3.8,66.4,6.1,51.6,48.4
"E00014098",14.4,16.3,27.7,24.3,17.4,45.5,1,15.8,37.6,38.5,42.3,17.3,2,65.8,1.3,8.9,88.6,9.9,0,0,66.3,12.5,1,20.2,30.6,54.9,5.8,2.9,58.4,70.3,4.5,3,7.4,51,1,5.8,36.5,5.8,47,53
"E00014099",14.8,21.9,28.4,25.7,9.1,27.3,1.9,27.3,43.6,48.9,40.3,9.4,1.4,67.4,0.5,6.8,75.8,14.8,1.1,3.4,59,7.2,1.4,32.4,40.4,46.9,6.1,4.8,57.5,50.8,6.1,7.2,18.6,30.9,0.7,5.8,59,3.6,47.7,52.3
"E00014100",21.1,17.5,17.1,29.4,15,39.8,1,31.8,27.4,32.8,40.3,21,5.8,60.6,0.9,9.3,80.9,6,1,4.7,61.3,14.3,1.7,22.7,34,52.9,6.6,5.3,51.6,63.5,2.3,6.7,15.1,55.5,0,1.7,37.8,5,47.2,52.8
"E00014101",10,28,35.2,17.6,9.2,21.6,1.2,29.2,48,67.9,23.9,8.2,0,65,1.8,7.7,64.8,20,0.8,6.8,47,16.4,0.7,35.8,52.9,36,4,4,63.1,50.4,3.6,11.2,22.4,31.3,1.5,0,63.4,3.7,50,50
"E00014102",9.1,39.7,35.1,12.7,3.6,17.1,1.4,28.8,52.7,73.2,22.8,3.3,0.8,61.5,1.5,4,61.3,26.6,1.8,4.5,35.8,9.8,2.4,52,42.6,47.5,4,1.5,68.8,40.1,5.4,13.5,25.7,17.1,0.8,29.3,51.2,1.6,50.9,49.1
"E00014103",14.7,19.3,29.4,24.3,12.5,33.3,3.4,31.1,32.2,56.2,29.5,11.4,2.9,64.1,2.1,7,85.3,10.7,1.1,1.1,66.7,5.7,0,27.6,51.3,36.2,9.2,3.3,67.1,66.1,1.7,0,18.1,34.3,0,8.6,57.1,0,47.5,52.5
"E00014104",19.9,22.3,29.7,18.9,9.4,29.7,1.5,37.1,31.7,60.2,31.6,8.2,0,67.9,2.5,7.4,76.7,8.4,2,5,52,15.3,1,31.6,47,40.9,6.1,3.7,57.9,48.5,1,10.9,23.8,19.4,0,6.1,72.4,2,37.6,62.4
"E00014105",13.8,23,35.1,18.6,9.5,34.8,0.3,28.7,36.1,53.3,40.1,5.9,0.7,66.3,1.6,6.5,75.7,12.5,2.7,2.7,55.9,13.8,2.6,27.6,47.1,36.1,10.2,1.6,71.8,52.7,2.4,7.4,19.3,34.2,0.7,2,59.2,3.9,52.7,47.3
"E00014107",17.2,7.4,22.3,25.1,28,47,0.9,29.8,22.3,38.1,50.5,8.6,2.9,70.7,2.9,11.4,88.8,5.1,0,1.4,66.7,11.4,3.8,18.1,29.1,48.6,8.4,3.9,56.4,72.6,4.7,4.7,10.7,54.3,1,6.7,28.6,9.5,47.4,52.6
"E00014108",25.3,12.1,18.1,31.9,12.8,48.7,0.7,23.5,27.2,25.9,44,22.4,7.7,65.1,0.9,8,86.9,5.4,0,0.7,58.6,25,0.9,15.5,27.6,59.2,6.1,7,54.4,61.4,1.7,4.7,18.8,62.1,0,3.4,28.4,6,46.6,53.4
"E00014109",10.4,22.6,32.4,15.7,19.2,33.8,0.5,22.1,43.6,55.6,39.7,3.2,1.6,67.3,1.2,7.4,78.9,12.3,0,2,65.1,10.3,1.6,23,48.9,29.3,8.2,5.4,52.7,53.9,1.5,6.9,24,44.4,0,6.3,43.7,5.6,48,52
"E00014110",15.1,9.2,16.4,36.1,23.1,70.2,2.1,7.1,20.6,60,35.8,4.2,0,53.6,7.8,16.1,68.5,6.7,8.4,5,75.8,6.7,3.3,14.2,37.9,36,13.7,14.7,24.2,65.1,0.4,13.9,11.3,2.5,0,93.3,0.8,3.3,46.6,53.4
"E00014111",20.3,9.6,30,26,14.1,39.6,0.4,21.6,38.3,35.8,48.1,13.2,2.8,72.8,2.4,8.9,81.1,7,0,6.2,71.7,7.5,1.9,18.9,26.8,59.6,7.7,2.7,67.2,63.4,5.7,5.3,11.5,53.8,0.9,7.5,33,4.7,48.9,51.1
"E00014112",18,19.4,27.8,21,13.9,50.4,2,13.1,34.5,63.9,34.7,1.4,0,55.7,7.3,7.8,58.3,11.5,11.9,9.1,66.7,9.7,3.5,20.1,62,21.2,7.7,6.7,43.3,52.4,1.2,16.7,16.7,16.7,0,60.4,20.8,2.1,46.8,53.2
"E00014113",17.8,14.9,21.8,32.7,12.7,52.9,0.6,9.8,36.8,72.2,23.3,4.4,0,50.7,8,11.6,56.3,14.9,8.6,2.3,65.6,16.7,4.4,13.3,39.5,34.7,14.3,11.6,29.9,43.1,0.6,18.4,17.8,7.8,0,77.8,14.4,0,52.9,47.1
"E00014115",20.2,9.3,19.7,30,20.8,66.5,1.5,6.9,25.1,75.2,23.8,1,0,49.3,6.3,14.1,75.9,9.4,4.9,5.4,74.3,8.6,1,16.2,37.2,40.2,10.4,10.4,24.4,66,0.5,6.9,13.8,3.8,0,88.6,7.6,0,43.8,56.2
"E00014116",16.5,12.4,33.8,27.1,10.2,40.2,0.8,24.1,35,49,37.8,7,6.3,69,1.4,9.4,77.1,9.8,0.4,4.5,67.1,11.2,2.8,18.9,42.8,43.7,9.9,1.8,66.7,57.9,4.5,5.3,15.4,48.3,0.7,7,40.6,3.5,51.5,48.5
"E00014117",20.5,11.1,23.3,30.2,14.9,60.3,0.4,16.4,22.9,28.4,45.9,15.6,10.1,68.2,2.1,5.1,90.5,4.2,0.8,0,77.1,12.8,1.8,8.3,31.2,54.8,7.7,1.4,74.5,53.1,3.1,0.8,31.7,70.6,0,0,22.9,6.4,47.3,52.7
"E00014118",13.6,26.9,31.8,22.4,5.2,35.7,0,23.1,41.3,53.2,33.3,11.7,1.8,74.6,4.1,2.9,71,9.8,2.8,6.6,71.2,7.2,3.6,18,51,35.1,6,4.4,51,48.6,3.1,12.9,24.8,25.2,0.9,0.9,64.9,8.1,53.1,46.9
"E00014119",23.7,11.8,22.7,28.3,13.3,61.1,1.6,12.8,24.6,29.6,37.6,25.6,7.2,70.3,0.4,6.4,91.9,3.7,0.6,0,74.4,16,1.6,8,32.3,53.1,6.3,3.9,64.2,57,5.3,0.9,25.2,69.6,0.8,8,16.8,4.8,49.8,50.2
"E00014120",19,12.5,36.6,17.2,14.7,50.9,1.7,17.7,29.7,56.5,35.7,5.2,2.6,70.3,0.6,8.6,84.9,2.6,2.6,3.4,68.7,13,2.6,15.7,43.2,46.3,6.3,2.1,66.8,46.6,5.6,3.9,32.3,46.1,0,2.6,45.2,6.1,51.7,48.3
"E00014121",21.4,12.4,35,24.9,6.5,40.6,1.8,21.7,35.9,39.1,34.8,20.7,5.4,69.6,2.4,5.4,79.3,9.7,0.9,1.4,58.7,18.5,2.2,20.7,35.5,57.6,4.1,3.5,62.2,56.2,3.7,3.7,21.7,45.7,0,4.3,48.9,1.1,47.5,52.5
"E00014122",19.8,9.2,34.6,19.8,16.6,48.8,0.6,15.4,35.2,42.2,48.2,9.6,0,66.7,0.8,10.8,66.7,18.5,0.6,3.1,59,9.6,3.6,27.7,30,47.7,9.2,4.6,60,34.6,3.7,9.3,38.3,61.4,0,1.2,32.5,4.8,51.9,48.1
"E00014123",17.2,12.6,30.4,26,13.7,45.5,2.8,15,36.7,45.8,33.3,18.3,2.7,68.6,2.4,11,81.8,8.2,1.3,2.5,68,15.7,3.3,13.1,36.3,50.6,6.4,5.2,68.2,53.6,2.5,3.1,26.6,62.1,0,0.7,30.7,6.5,50.5,49.5
"E00014124",21.1,10.1,24.3,23.8,20.6,44.2,1.6,13.5,40.7,37.6,41.2,13.5,7.7,56.2,5.6,9.4,69.3,7.7,8.2,4,67.1,15.9,1.8,15.3,28.8,53.6,8.5,8.5,47.7,51.3,11.1,10.3,14.6,54.1,0,20,15.9,10,47.1,52.9
"E00014125",18.5,22.2,20.8,28.3,10.1,54.7,0.7,14,30.6,42.4,41.6,14.4,1.6,61.6,4.5,6.5,77.5,7.2,4.9,6.5,73.6,14.4,0.8,11.2,49.4,35.7,7.8,9.4,49.8,59,1.3,9.4,17.6,53.6,0,28.8,14.4,3.2,48.9,51.1
"E00014126",19.5,17.6,23.6,29.1,10.2,57.2,0.3,14.4,28.1,46.1,39.8,10.9,3.1,58.1,1.6,9.8,79.9,6.4,1.6,7.7,71.1,14.8,0,14.1,41.1,43.8,10.1,2.7,56.6,52.1,2.9,11.5,20.8,50,0.8,10.9,35.2,3.1,44.4,55.6
"E00014127",20.5,8.7,34.5,27.6,8.7,48.5,1.3,17,33.2,45.9,41.4,10.8,1.8,66.5,3.4,7.8,76.9,11.8,0,0.9,65.8,12.6,0.9,20.7,33,56.4,8.5,4.8,66,48,2.6,4.8,31,50.5,0,0,46.8,2.7,48.5,51.5
"E00014128",10.9,22.2,25.1,21.7,20.3,46.3,1,21.2,31.5,58.9,33.9,7.3,0,66,3.1,11.7,80.3,9.9,1.5,1,67.7,7.3,1.6,23.4,46.5,38.4,3.2,2.2,65.4,55.7,0.5,4.9,21.2,52.4,0,1.6,39.5,6.5,46.3,53.7
"E00014129",20.7,11.7,27.3,25.8,14.6,31.4,1.5,19.2,48,42.6,43.2,13.6,0.6,65.1,0,10.9,76.7,10.8,2.9,1.7,66.3,11.2,0,22.5,24.8,59.4,8.6,1.4,60.1,57.8,6.7,6.7,17.2,46.7,0,0,45,8.3,44.8,55.2
"E00014130",15.9,25.9,33.5,13.3,11.5,43.9,0.7,18.7,36.7,55.7,33,7.8,3.5,69.5,0.9,8,79.1,7.2,1.4,2.9,68.7,7.8,2.6,20.9,49.1,44,3.8,2.1,66.2,61.2,2.9,4.3,23.7,44.3,0.9,4.3,47.8,2.6,40.3,59.7
"E00014131",7,20.8,26,19.7,26.6,40.5,1.2,20.8,37.6,73.3,19.2,5.8,1.7,64.2,0,10.4,74.6,15.6,0.6,1.2,62.5,10,0,27.5,49.7,34.2,5.6,6.8,64,55.5,2.9,3.5,22,50,0,0.8,40,9.2,48,52
"E00014132",17.1,13.7,42.6,18,8.6,47.3,0,21.1,31.6,54,30.2,12.7,3.2,78.2,1.5,5.8,84,6.6,0.8,3.5,65.1,11.9,1.6,21.4,47.6,45.3,4.7,4.2,69.3,58.2,0.8,5.5,19.1,39.7,0,2.4,54.8,3.2,53.1,46.9
"E00014133",17.7,22.1,32.7,16.8,10.6,43.4,0.9,19,36.7,56.4,35.5,7.3,0.9,72.4,3.3,6.1,76.5,9.7,0.4,6.2,65.5,15.5,1.8,17.3,42.1,50,3.7,4.7,65.8,50.9,3.1,8.8,27,37.3,0,0.9,56.4,5.5,50.4,49.6
"E00014134",9,23,34,22.5,11.5,42,0.5,26.5,31,60,30.5,5.7,3.9,67.8,2.9,9.2,77,15.5,1.5,2,70.5,8.6,1,20,47.8,42.3,5.5,2.7,72,63,1,5.5,20,41.9,1,1.9,51.4,3.8,54,46
"E00014135",18.9,23.5,28.9,19.8,9,35.8,0.5,23.5,40.2,50.8,37.9,11.3,0,57.6,5.3,3.5,59.8,16.2,7.5,4.9,58.9,17.7,1.6,21.8,53.1,35.8,5.9,7.5,52,54.1,2.4,8.2,20.9,37.1,0,4.8,51.6,6.5,36.9,63.1
"E00014136",17.7,19.5,33.5,17.2,12.3,45.2,2.3,23.1,29.4,58.4,32.7,7.1,1.8,69.6,2.9,6.4,82.4,5.9,0.5,1.8,65.5,13.3,0,21.2,47.6,34.1,9.2,3.2,56.2,52.9,3.6,6.8,26.7,36.3,0.9,14.2,45.1,3.5,44.3,55.7
"E00014137",15.2,11.5,34.7,23.2,15.2,54.1,0.8,15.7,29.3,40.9,43.5,13,2.6,68.5,4.1,8.6,88.8,3.7,0.4,2.1,73,8.7,3.5,14.8,35.6,51.4,5.3,1.9,65.9,58.7,4.5,2.9,23.6,42.6,0,5.2,44.3,7.8,51.7,48.3
"E00014138",21.8,16.4,31.1,24.5,6.2,46.3,2.5,17.4,33.9,38.4,40,12,9.6,68.1,2.4,4.8,73.6,14.6,0.6,0.9,59.2,22.4,0.8,17.6,39.5,52.7,2.3,2.7,63.2,57.1,3.7,4.3,17.1,52.8,0.8,0.8,43.2,2.4,46.3,53.7
"E00014139",1.8,28.4,35.2,25.3,9.2,35.8,1.9,22.2,40.1,84.9,14.3,0.8,0,68.9,7.3,2.6,75.9,16,3.1,1.9,65.1,4.8,0.8,29.4,71.1,14.5,10.1,5,66,47.5,4.3,5.6,25.9,29.4,0.8,2.4,61.9,5.6,48.8,51.2
"E00014140",9.4,30.6,35.4,17.9,6.7,35.8,1.4,22.6,40.1,57.4,35.2,7.4,0,76.3,3.7,4.2,74.5,8,1.9,8,65.6,7.4,3.3,23.8,59.4,29.2,7.8,4.7,66.7,50.9,0,10.4,18.9,32,0.8,7.4,54.9,4.9,52.8,47.2
"E00014141",16,10,26.9,27.7,19.4,67.6,0.8,10.9,20.6,30.4,55.7,12.2,1.7,72.1,1.1,14.8,90.8,3.8,1.7,0.8,85.2,3.5,0,11.3,28.9,56.2,8.5,2.5,64.7,55.9,3.4,0.4,25.2,69.6,0,0.9,23.5,6.1,45,55
"E00014142",11.1,23.2,41.1,17.8,6.7,42.9,0,20.1,37.1,58.9,34.7,2.4,4,75.9,2.1,5.6,77.2,12.1,0.9,0.4,70.2,13.7,0,16.1,52.2,36.3,7.5,2.5,66.7,47.8,0.9,0.9,38.8,40.3,2.4,0.8,53.2,3.2,52.2,47.8
"E00014143",10.7,19.4,42.9,19.9,7.1,39.8,1.5,16.8,41.8,64.2,31.7,1.7,2.5,75.4,3,4.8,81.1,4.1,2.6,3.1,69.2,7.5,0,23.3,50.9,29.1,9.7,2.3,68,59.7,2.6,4.6,22.4,35.8,0,1.7,54.2,8.3,48.5,51.5
"E00014144",18.5,15.5,27.5,21.9,16.7,58.4,0.9,12.4,28.3,35.1,51.4,11.7,1.8,65.7,0,8.6,84.5,6.9,1.7,2.1,84.7,4.5,0,10.8,44,39.4,7.3,3.6,65.8,61.8,0.9,5.6,24.5,72.1,0.9,0.9,25.2,0.9,48.5,51.5
"E00014145",13.3,18.1,33.2,22.5,13.2,53.7,1,17.1,28.3,51.9,38.5,5.8,3.8,80.5,1.8,3.6,86.8,7.3,0.5,1,70.2,10.6,1,18.3,45.9,44.8,6.1,2.2,63.5,63.9,2.9,0.5,18,44.2,0,7.7,45.2,2.9,50.7,49.3
"E00014146",11.4,14.9,24.6,27.4,21.7,40.6,0.6,18.3,40.6,46,43,8,3,63.8,2.2,10.1,80,12.6,1.1,1.1,72,9,1,18,36.1,52.9,4.5,5.2,70.3,53.1,5.1,3.4,24,52,1,1,37,9,57.1,42.9
"E00014147",17.2,15.6,31.8,30.2,5.2,42.7,2.6,20.8,33.9,34,53,10,3,79.2,2.6,3.2,79.2,9.4,2.6,0,69,14,0,17,41.5,51.6,2.5,1.9,74.2,59.4,2.6,3.6,21.4,58,0,0,39,3,54.7,45.3
"E00014148",21.7,14.9,31.9,18.7,12.8,63,3,11.5,22.6,23.1,58.7,15.4,2.9,71.4,2.9,7.4,91.1,3.8,0,0,81.7,5.8,1,11.5,32.6,52.4,8,3.2,73.3,70.6,0.9,0,20,73.1,0,0,25,1.9,49.8,50.2
"E00014149",11.1,11.6,24.2,31.6,21.5,56.3,3.7,4.2,35.8,82,17.2,0.8,0,51,4.7,7.4,60.5,12.6,7.9,3.7,70.3,3.1,2.3,24.2,60,14.1,12.4,9.4,38.2,55.3,0,15.3,18.9,3.9,0,80.5,11.7,3.9,58.4,41.6
"E00014150",12.8,17.5,24.8,25.8,19,50.3,3,13.4,33.2,80.3,16.2,3.5,0,56.5,6.3,13.9,47,10.7,21.5,8.4,67.1,12.1,0.6,20.2,47.7,24.4,15.6,8.4,38.5,48.3,0.3,17.1,21.8,19.1,0.6,64.7,15.6,0,50,50
"E00014151",18.1,18.1,28,25.7,10.2,61,2.8,6.5,29.7,59,36.7,3.6,0.6,56,8.9,7.4,61.6,14.1,13,2.8,72.3,9.6,3.6,14.5,51.8,29.9,11.6,11,38.2,52,0.8,15,22.3,24.1,0,63.9,11.4,0.6,51.1,48.9
"E00014152",11,23.8,38.6,20.5,6,42.2,1.9,18.6,37.3,65.2,31.8,3,0,72.4,3.7,4.9,67.8,6.2,9.7,7.8,68.7,9,0.4,21.9,62.2,21,9.3,4.5,61.6,39.2,3.2,13.2,28.4,28.8,2.1,21.9,46.4,0.9,50,50
"E00014153",17.6,18.7,24.5,32.2,6.9,64,0.8,13.8,21.5,62,33.3,3.1,1.6,69.7,6.2,5.2,65.1,7.7,13.4,2.7,69,10.9,1.6,18.6,52.3,31.8,11.4,5.5,45.9,46.4,1.1,11.1,27.6,27.9,2.3,49.6,20.2,0,47.1,52.9
"E00014154",21.3,15.9,26.9,24.4,11.6,56.6,2.2,8.4,32.8,62.7,31.4,4.6,1.3,61.5,5.7,10.1,58.8,6.9,18.1,7.8,76.5,11.1,2,10.5,59.6,23.5,6.9,9.2,36.2,46.6,2.5,19.1,17.5,23.5,1.3,53.6,20.9,0.7,45.9,54.1
"E00014155",7,27.9,37.9,21.4,5.4,45.6,1.1,20.9,32.4,66.7,26.3,7.1,0,76.2,6.1,5.5,80.2,7.1,7.1,0,70.7,13.1,0,16.2,61.2,20.6,15.3,4.7,69.4,51.6,4.9,0.5,28,25.3,0,21.2,51.5,2,45.1,54.9
"E00014156",15.5,18.1,34.6,21.8,10.1,50,2.1,20.2,27.7,52.4,42.9,4.8,0,79.6,2.7,3.4,86.2,9,0.5,1.1,67.6,7.6,3.8,21,55.6,30,6.2,4.4,66.2,46.8,2.1,5.3,31.9,41,0,1.9,57.1,0,53.2,46.8
"E00014157",21.6,18,26,22.5,11.8,58.6,2.7,5.3,33.4,65.7,31.3,2.4,0.6,56.3,9.1,6.7,56.2,8.3,19.8,3,74.1,10.2,3,12.7,51.1,26.8,10.9,12.7,30.1,49.4,1.5,17.8,17.5,21.1,0.6,60.2,16.9,1.2,42.3,57.7
